HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5050662,Strand Arcade,195 - 197 Pitt Street Sydney,Sydney,SHR,1864,NULL,20/03/2014,
5045401,Golden Vale,NULL,Wingecarribee,SHR,489,1221,20/03/2014,
5048583,St Mary and St Joseph Catholic Cathedral Group,"Rusden Street, Armidale",Armidale Dumaresq,SHR,1925,2580,,
5045262,Courunga,NULL,Bega Valley,SHR,235,534,20/03/2014,
5052090,Graham Lodge,NULL,Shoalhaven,SHR,1699,1948,20/03/2014,
5053898,Mount Penang Parklands,NULL,Gosford,SHR,1667,1928,20/03/2014,
5045738,Derrendi Cottage,30-32 Twynam Street Narrandera,Narrandera,SHR,441,1187,20/03/2014,
5014176,Railway Institute Building,NULL,Sydney,SHR,1257,2248,20/03/2014,
5050360,Wylie's Baths,4B Neptune Street Coogee,Randwick,SHR,1677,1932,20/03/2014,
5049861,Harry and Penelope Seidler House,13 Kalang Avenue Killara,Ku-Ring-Gai,SHR,1793,2187,20/03/2014,
5060333,Ingleburn Military Heritage Precinct and Mont St Quentin Oval,Campbelltown Road Ingleburn,"Campbelltown, Liverpool",SHR,1891,2482,,
