X,Y,project_id,orig_id,title,author,consultant,client,year,item_link,doc_type,notes,aol_qualit,contributo,site locat,county,lga,exportaddr,veriaddres,loc_conf,source
151.207643,-33.864038,"446","4059",Cadia mining precinct: final interpretive advice: volume IV,Godden MacKay Pty Ltd.,Godden MacKay Pty Ltd.,Newcrest Mining Limited,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4059,archaeology,"V II comprises 3 volumes (vv. 2,3,4) V.4 located at E994.45 GOD V.4.",not searched,The Authors,not searched,not searched,not searched,"4 LOCATED AT E, Sydney, NSW","4/252 George St, Sydney NSW 2000, Australia",Great,NSW-HeritageLibrary
151.207643,-33.864038,"447","4060",Cadia mining precinct: archaeological assessment: volume V,Godden MacKay Pty Ltd.,Godden MacKay Pty Ltd.,Newcrest Mining Limited,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4060,archaeology,"V II comprises 3 volumes (vv. 2,3,4) V.4 located at E994.45 GOD V.4.",not searched,The Authors,not searched,not searched,not searched,"4 LOCATED AT E, Sydney, NSW","4/252 George St, Sydney NSW 2000, Australia",Great,NSW-HeritageLibrary
151.207643,-33.864038,"448","4061",Cadia mining precinct: final inventory of historic sites and relics: volume VI,Godden MacKay Pty Ltd.,Godden MacKay Pty Ltd.,Newcrest Mining Limited,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4061,archaeology,"V II comprises 3 volumes (vv. 2,3,4) V.4 located at E994.45 GOD V.4.",not searched,The Authors,not searched,not searched,not searched,"4 LOCATED AT E, Sydney, NSW","4/252 George St, Sydney NSW 2000, Australia",Great,NSW-HeritageLibrary
151.1791204,-33.91320509,"449","4134","An archaeological assessment of the former Go-Gas Service Station, 140 Princes Highway, St Peters, NSW",HLA-Envirosciences Pty Limited.,HLA-Envirosciences Pty Limited.,,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4134,archaeology,"1 v. : maps,",not searched,The Author,not searched,not searched,not searched,"140 PRINCES HIGHWAY, ST PETERS, NSW","140 PRINCES HIGHWAY ST PETERS, NSW 2044, AUSTRALIA",Great,NSW-HeritageLibrary
151.1924176,-33.8667459,"450","4167","Archaeological investigation: 52 Harris Street and 1 Cross Street, Pyrmont",Wendy Thorp.,Wendy Thorp.,City West Development Corporation,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4167,archaeology,11 leaves : ills.,not searched,The Author,not searched,not searched,not searched,"52 HARRIS STREET, PYRMONT, NSW","52 Harris St, Pyrmont NSW 2009, Australia",Great,NSW-HeritageLibrary
150.8195946,-33.60771278,"451","4194","Report on archaeological monitoring 226 George Street, Windsor, NSW",Siobhan Lavelle,Siobhan Lavelle,"Arabian Horse Society of Australia Limited, Hawkesbury Council and Heritage Council of NSW.","1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4194,archaeology,"1 v. : ills,",not searched,The Author,not searched,not searched,not searched,"226 GEORGE STREET, WINDSOR, NSW","226 GEORGE STREET WINDSOR, NSW 2756, AUSTRALIA",Great,NSW-HeritageLibrary
151.5595855,-32.7346707,"452","4254","Report on the archaeological programme 1993-1994: The Manse, 12 - 14 Freechurch Street, Maitland","Martin Carney, Archaeological Management & Consulting Group Pty Ltd and A Wayne Johnson.","Martin Carney, Archaeological Management & Consulting Group Pty Ltd and A Wayne Johnson.",,"1993",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4254,archaeological,", 1 v. : ills.",not searched,not searched,not searched,not searched,not searched,"12-14 FREECHURCH STREET, MAITLAND, NSW","14/12 Free Church St, Maitland NSW 2320, Australia",Great,NSW-HeritageLibrary
151.2058297,-33.86478681,"453","4257","Presbyterian Assembly Hall: 42 - 44 Margaret Street, Sydney: archaeological assessment",Godden Mackay Pty Ltd.,Godden Mackay Pty Ltd.,Devine Erby Mazlin,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4257,archaeological,"104 p. : ills,",not searched,The Authors,not searched,not searched,not searched,"42-44 MARGARET STREET, SYDNEY, NSW","42-44 MARGARET STREET SYDNEY, NSW 2000, AUSTRALIA",Great,NSW-HeritageLibrary
151.1994095,-33.88099444,"454","4266","Report on the archaeological monitoring programme during the redevelopment of 68-80 Mary Ann Street and 54-64 Macarthur Street, Ultimo. City West Redevelopment Project. Ultimo/Pyrmont affordable housing.",Edward Higginbptham.,Edward Higginbptham.,,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4266,archaeology,"1 v,",not searched,The Author,not searched,not searched,not searched,"68-80 MARY ANN STREET, ULTIMO, NSW","68 MARY ANN STREET ULTIMO, NSW 2007, AUSTRALIA",Great,NSW-HeritageLibrary
150.8120847,-34.06950316,"455","4269","Conservation management plan: 288 - 294 Queen Street, Campbelltown",Orwell & Peter Phillips.,Orwell & Peter Phillips.,NSW Department of Planning,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4269,historic sites,"2 v,",not searched,The Author,not searched,not searched,not searched,"288-294 QUEEN STREET, CAMPBELLTOWN, NSW","288 QUEEN STREET CAMPBELLTOWN, NSW 2560, AUSTRALIA",Great,NSW-HeritageLibrary
