HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5045185,Elizabeth Bay House,7 Onslow Avenue Elizabeth Bay,Sydney,SHR,00006,47,2014-03-20,
5045202,Townhouse,28 Lower Fort Street Millers Point,Sydney,SHR,00881,NULL,2014-03-20,
5000003,Carcoar School of Arts,NULL,Blayney,SHR,00266,646,2014-03-20,
5045641,Anambah House,NULL,Maitland,SHR,00275,662,2014-03-20,
5060783,Torin Building,26 Coombes Drive Penrith,Penrith,SHR,01796,2269,2014-03-20,
5045059,Don Bank,6 Napier Street North Sydney,North Sydney,SHR,00031,182,2014-03-20,
5045670,Argyle House,85 Lower Fort Street Millers Point,Sydney,SHR,00838,NULL,2014-03-20,
5051503,High Conservation Value Old Growth Forest,15 Local Government Areas Upper North East NSW,Multiple LGAs,SHR,01487,2473,2014-03-20,
5045191,Kelvin,NULL,Liverpool,SHR,00046,216,2014-03-20,
5045497,CML Building,118 Macquarie Street Dubbo,Dubbo,SHR,00180,379,2014-03-20,
5053136,Accountants House,117-119 Harrington Street The Rocks,Sydney,SHR,01521,NULL,2014-03-20,
5045446,Emanuel School,18-20 Stanley Street Randwick,Randwick,SHR,00386,920,2014-03-20,
5051272,Yass Post Office,101 Comur Street Yass,Yass Valley,SHR,01422,NULL,2014-03-20,
5011975,Coonamble Railway Station and yard group,NULL,Coonamble,SHR,01117,NULL,2014-03-20,
5045719,Meroogal,35 West Street Nowra,Shoalhaven,SHR,00953,NULL,2014-03-20,
5011944,Relay Test Centre,11 St Davids Road Haberfield,Ashfield,SHR,00933,1997,2014-03-20,
5045339,Ohio Homestead,NULL,Walcha,SHR,00463,934,2014-03-20,
5051505,Orange Post Office,221 Summer Street Orange,Orange,SHR,01416,NULL,2014-03-20,
5045503,Golden Gully and Archway,NULL,Bathurst Regional,SHR,00614,1612,2014-03-20,
5055930,McIver Women's Baths,NULL,Randwick,SHR,01869,2484,2014-03-20,
5051506,North Sydney Post Office,92-94 Pacific Highway North Sydney,North Sydney,SHR,01417,NULL,2014-03-20,
5061201,Lithgow Railway Station Group and Residence,,Lithgow,SHR,01833,2561,,
5053138,Argyle Cut,NULL,Sydney,SHR,01523,NULL,2014-03-20,
5053111,Macquarie Place Precinct,NULL,Sydney,SHR,01759,2089,2014-03-20,
5044709,Trocadero,69-77 King Street Newtown,Sydney,SHR,01380,2245,2014-03-20,
5051343,Murray Downs Homestead,NULL,Wakool,SHR,01438,2141,2014-03-20,
5012292,Woodstock Railway Station,NULL,Cowra,SHR,01290,NULL,2014-03-20,
5045441,St. Helen's Park,NULL,Campbelltown,SHR,00406,1013,2014-03-20,
5053870,Pymble Reservoir No.1 (Covered) (WS 0097),NULL,Ku-Ring-Gai,SHR,01632,2047,2014-03-20,
5053211,Shops and Residences - stone,139-141 George Street The Rocks,Sydney,SHR,01595,NULL,2014-03-20,
5044982,Earp Gillam Bond Store Precinct,16 Telford Street Newcastle East,Newcastle,SHR,00762,1827,2014-03-20,
5045655,St. Michael's Cathedral & Rectory,NULL,Wollongong City,SHR,00602,1575,2014-03-20,
5045251,Christ Church Anglican Church,345-347 Great Western Highway Springwood,Blue Mountains,SHR,00130,387,2014-03-20,
5051409,Shop and office,88-92 George Street Parramatta,Parramatta,SHR,00278,694,2014-03-20,
5012084,Lue Railway Station group,NULL,Mid-Western Regional,SHR,01183,NULL,2014-03-20,
5011940,"Banco Road Court, Sydney Supreme Court House",NULL,Sydney,SHR,00799,2499,2014-03-20,
5012297,Young Railway Station and yard group,NULL,Young,SHR,01294,NULL,2014-03-20,
5011954,Bredbo Rail Bridge Group,NULL,Cooma-Monaro,SHR,01029,2179,2014-03-20,
5061455,Homewood - Childhood Home of 'Slim Dusty',1279 Nulla Nulla Creek Road Nulla Nulla Creek,Kempsey,SHR,01870,2516,2014-03-20,
5053863,Drummoyne Reservoir,NULL,Canada Bay,SHR,01625,2014,2014-03-20,
5012020,Glen Innes Railway Station group,NULL,Glen Innes Severn,SHR,01149,NULL,2014-03-20,
5045440,Carrington Hotel,NULL,Blue Mountains,SHR,00280,698,2014-03-20,
5045514,Old Police Barracks,NULL,Goulburn Mulwaree,SHR,00546,1471,2014-03-20,
5045347,Engehurst,56A Ormond Street Paddington,Woollahra,SHR,00575,1532,2014-03-20,
5052093,Malachi Gilmore Memorial Hall,124 Oberon Street Oberon,Oberon,SHR,01680,1934,2014-03-20,
5045414,Oldholme,12 Wallis Street East Maitland,Maitland,SHR,00136,197,2014-03-20,
5045086,Joadja kerosene oil shale mining and refining site,NULL,Wingecarribee,SHR,01305,NULL,2014-03-20,
5014100,Matthews Cottage,NULL,Snowy River,SHR,00998,NULL,2014-03-20,
