TroveID,troveUrl,title,site_name,contributor,issued,year,abstract,subjects,URLs,ExternalURL_1,ExternalURL_1_type,relevanceScore,suburbs,longitude,latitude
20561781,http://trove.nla.gov.au/work/20561781,Castle Hill Heritage Park : archaeological excavation report for the Stage 1 Redevelopment Area / [Graham Wilson & Peter Douglas],Castle Hill Heritage Park,"Wilson, Graham archaeologist",2005,2005,not found,not found,not found,not found,not found,0.14457437,151.014518,-33.7181541
18299574,http://trove.nla.gov.au/work/18299574,Castle Hill archaeological report / editor: Judy Birmingham,Castle Hill Heritage Park,"Birmingham, Judy",1984,1984,not found,not found,not found,not found,not found,0.056347888,151.014518,-33.7181541
171865040,http://trove.nla.gov.au/work/171865040,"Heritage & Archaeological Assessment : portions of Cliftonville Road, Upper Half Moon Reach Hawkesbury River, Lower Portland N.S.W. / Martin Carney and Fenella Atkinson for Baulkham Hills Shire Council","Cliftonville Road, Upper Half Moon Reach Hawkesbury River, Lower Portland","Carney, Martin",2003,2003,not found,not found,not found,not found,not found,0.07257738,none found,none found
164182355,http://trove.nla.gov.au/work/164182355,"Archaeological report coastal cliff walk South Head / M. Koettig, G. C. Wilson for Woollahra Municipal Council","coastal cliff walk, South Head","Koettig, Margrit",1986,1986,not found,not found,not found,not found,not found,0.030018158,none found,none found
6211712,http://trove.nla.gov.au/work/6211712,"Historical and archaeological investigation of a stone lined watercourse and other features, Commonwealth Analytical Laboratories, Suakin Street Pymble, NSW / report prepared by E. Higginbotham ; historical research by Terry Kass","Commonwealth Analytical Laboratories, Suakin Street Pymble","Higginbotham, Edward A. K",1988,1988,not found,not found,not found,not found,not found,0.099003285,none found,none found
7876956,http://trove.nla.gov.au/work/7876956,"Archaeological investigations in the grounds of Como House, 1996 : report prepared for the National Trust of Australia (Victoria) / by Phillip C. Edwards","Como House, Victoria","Edwards, Phillip C. (Phillip Charles)",1998,1998,not found,not found,not found,not found,not found,0.09331751,none found,none found
19405044,http://trove.nla.gov.au/work/19405044,"Archaeological investigation, Conservatorium site, Macquarie Street, Sydney / for NSW Department of Public Works & Services ; Casey & Lowe Pty Ltd","Conservatorium of Music, Sydney",Casey & Lowe Associates,2002,2002,not found,not found,not found,not found,not found,0.07402328,none found,none found
19862081,http://trove.nla.gov.au/work/19862081,"Cowpasture Road upgrade, northern section (North Liverpool road to the West Link M7 Motorway), Liverpool NSW, Aboriginal Archaeological Assessment / Fiona Leslie, Jim Wheeler & Peter Douglas",Cowpasture Road (North Liverpool road to the West Link M7 Motorway),"Leslie, Fiona",2005,2005,not found,not found,not found,not found,not found,0.067492306,none found,none found
157325865,http://trove.nla.gov.au/work/157325865,"Report on archaeological monitoring programme on site A, Cumberland Hospital, Eastern campus, Parramatta, N.S.W. for Western Sydney Area Health Service","Cumberland Hospital, Parramatta","Higginbotham, Edward A. K",1997,1997,not found,not found,not found,not found,not found,0.029828243,none found,none found
13170005,http://trove.nla.gov.au/work/13170005,Customs House Sydney archaeological assessment : a report prepared for Sydney City council / Wendy Thorp,"Customs House, Sydney","Thorp, Wendy",1995,1995,not found,not found,not found,not found,not found,0.106288336,none found,none found
