site_name,Short_site_name,VerifiedAddress,X,Y,LocConf,results
"Bradfield Park, Milson's Point",Bradfield Park,"Bradfield Park, Milsons Point NSW 2061, Australia",151.2125243,-33.8506782,GEOMETRIC_CENTER,"('Bradfield Park, Milsons Point NSW 2061, Australia', 151.2125243, -33.8506782, 'GEOMETRIC_CENTER')"
"Burwood copper smelter, Glenrock lagoon",Burwood copper smelter,"Glenrock State Conservation Area, Yuelarbah Track, Highfields NSW 2289, Australia",151.7283958,-32.9589918,GEOMETRIC_CENTER,"('Glenrock State Conservation Area, Yuelarbah Track, Highfields NSW 2289, Australia', 151.7283958, -32.9589918, 'GEOMETRIC_CENTER')"
"Callan Point and Yurulbin point, Leichhardt",Callan Point and Yurulbin point,"Wharf Rd, Lilyfield NSW 2040, Australia",151.157981,-33.8706132,GEOMETRIC_CENTER,"('Wharf Rd, Lilyfield NSW 2040, Australia', 151.157981, -33.8706132, 'GEOMETRIC_CENTER')"
"Carrington watchhouse, Carrington Village",Carrington watchhouse,"Carrington NSW 2294, Australia",151.768,-32.915,APPROXIMATE,"('Carrington NSW 2294, Australia', 151.768, -32.915, 'APPROXIMATE')"
"Cliftonville Road, Upper Half Moon Reach Hawkesbury River, Lower Portland",Cliftonville Road,"1558 River Rd, Lower Portland NSW 2756, Australia",150.9193917,-33.4341154,Great - Google,"('1558 River Rd, Lower Portland NSW 2756, Australia', 150.9193917, -33.4341154, 'Great - Google')"
"coastal cliff walk, South Head",coastal cliff walk,"South Head, Watsons Bay NSW 2030, Australia",151.2804258,-33.8332187,APPROXIMATE,"('South Head, Watsons Bay NSW 2030, Australia', 151.2804258, -33.8332187, 'APPROXIMATE')"
"Commonwealth Analytical Laboratories, Suakin Street Pymble",Commonwealth Analytical Laboratories,"Suakin St, Pymble NSW 2073, Australia",151.1437657,-33.7511353,GEOMETRIC_CENTER,"('Suakin St, Pymble NSW 2073, Australia', 151.1437657, -33.7511353, 'GEOMETRIC_CENTER')"
"Como House, Victoria",Como House,"Como House & Garden, Williams Rd & Lechlade Ave, South Yarra VIC 3141, Australia",145.0037089,-37.8379104,GEOMETRIC_CENTER,"('Como House & Garden, Williams Rd & Lechlade Ave, South Yarra VIC 3141, Australia', 145.0037089, -37.8379104, 'GEOMETRIC_CENTER')"
Cowpasture Road (North Liverpool road to the West Link M7 Motorway),Cowpasture Road (North Liverpool road to the West Link M7 Motorway),not found,unknown,unknown,unknown,"('not found', 'unknown', 'unknown', 'unknown')"
"Driver and John Hargreaves Avenues, Moore Park",Driver and John Hargreaves Avenues,"Driver Ave & John Hargreaves Ave, Moore Park NSW 2021, Australia",151.2236706,-33.8932417,GEOMETRIC_CENTER,"('Driver Ave & John Hargreaves Ave, Moore Park NSW 2021, Australia', 151.2236706, -33.8932417, 'GEOMETRIC_CENTER')"
"Eastern Suburbs Memorial Park, Matraville",Eastern Suburbs Memorial Park,"Eastern Suburbs Funeral Services, 12 Military Rd, Matraville NSW 2036, Australia",151.2272292,-33.9727023,Great - Google,"('Eastern Suburbs Funeral Services, 12 Military Rd, Matraville NSW 2036, Australia', 151.2272292, -33.9727023, 'Great - Google')"
"Ebenezer Mission, Victoria",Ebenezer Mission,"Victoria, Australia",144.7851531,-37.4713077,APPROXIMATE,"('Victoria, Australia', 144.7851531, -37.4713077, 'APPROXIMATE')"
"Emmaus Village, Kemps Creek",Emmaus Village,"85 Bakers Ln, Kemps Creek NSW 2178, Australia",150.7932437,-33.8274719,Great - Google,"('85 Bakers Ln, Kemps Creek NSW 2178, Australia', 150.7932437, -33.8274719, 'Great - Google')"
"Fitzroy Bridge, Windsor",Fitzroy Bridge,"Fitzroy Bridge, Windsor NSW 2756, Australia",150.8253321,-33.6065938,GEOMETRIC_CENTER,"('Fitzroy Bridge, Windsor NSW 2756, Australia', 150.8253321, -33.6065938, 'GEOMETRIC_CENTER')"
"Garfield Barwick Commonwealth Law Courts Building, Parramatta",Garfield Barwick Commonwealth Law Courts Building,"Garfield Barwick Commonwealth Law Courts Building, 1-3 George St, Parramatta NSW 2150, Australia",151.0010671,-33.8131666,Great - Google,"('Garfield Barwick Commonwealth Law Courts Building, 1-3 George St, Parramatta NSW 2150, Australia', 151.0010671, -33.8131666, 'Great - Google')"
"Government House, Sydney",Government House,"Macquarie St, Sydney NSW 2000, Australia",151.2148495,-33.8596434,GEOMETRIC_CENTER,"('Macquarie St, Sydney NSW 2000, Australia', 151.2148495, -33.8596434, 'GEOMETRIC_CENTER')"
"Green Road Reserve, Kellyville",Green Road Reserve,"Centenary of ANZAC Reserve, Cnr Wrights Rd & Green Rd, Castle Hill NSW 2154, Australia",150.9740105,-33.7156833,GEOMETRIC_CENTER,"('Centenary of ANZAC Reserve, Cnr Wrights Rd & Green Rd, Castle Hill NSW 2154, Australia', 150.9740105, -33.7156833, 'GEOMETRIC_CENTER')"
"Hungry Beach fortifications, Ku-ring-gai Chase National Park",Hungry Beach fortifications,"Ku-ring-gai Chase National Park, Bobbin Head Rd, New South Wales, Australia",151.245131,-33.621874,GEOMETRIC_CENTER,"('Ku-ring-gai Chase National Park, Bobbin Head Rd, New South Wales, Australia', 151.245131, -33.621874, 'GEOMETRIC_CENTER')"
Hunters Hill Bowling Club,Hunters Hill Bowling Club,"12-20 Madeline St, Hunters Hill NSW 2110, Australia",151.1537744,-33.8331312,Great - Google,"('12-20 Madeline St, Hunters Hill NSW 2110, Australia', 151.1537744, -33.8331312, 'Great - Google')"
"Jacksons Landing, Pyrmont",Jacksons Landing,"52B Bowman St, Pyrmont NSW 2009, Australia",151.1901253,-33.8671707,Great - Google,"('52B Bowman St, Pyrmont NSW 2009, Australia', 151.1901253, -33.8671707, 'Great - Google')"
"KENS Site, Sydney",KENS Site,"1 Hickson Rd, The Rocks NSW 2000, Australia",151.2093777,-33.8577724,Great - Google,"('1 Hickson Rd, The Rocks NSW 2000, Australia', 151.2093777, -33.8577724, 'Great - Google')"
Kirrawee Living Centres Project,Kirrawee Living Centres Project,"4019/17 Patrick St, Blacktown NSW 2148, Australia",150.907849,-33.7707516,Great - Google,"('4019/17 Patrick St, Blacktown NSW 2148, Australia', 150.907849, -33.7707516, 'Great - Google')"
Lady Bay,Lady Bay,"Lady Bay Beach, New South Wales, Australia",151.2794335,-33.83553820000001,APPROXIMATE,"('Lady Bay Beach, New South Wales, Australia', 151.2794335, -33.83553820000001, 'APPROXIMATE')"
"Lake Condah Aboriginal mission, Victoria",Lake Condah Aboriginal mission,"Lake Condah, Breakaway Creek VIC 3303, Australia",141.8324645,-38.0624522,APPROXIMATE,"('Lake Condah, Breakaway Creek VIC 3303, Australia', 141.8324645, -38.0624522, 'APPROXIMATE')"
"Lot 14 Hall St, Pitt Town",Lot 14 Hall St,"14 Hall St, Pitt Town NSW 2756, Australia",150.859959,-33.5724858,Great - Google,"('14 Hall St, Pitt Town NSW 2756, Australia', 150.859959, -33.5724858, 'Great - Google')"
"McCauley?s Beach, Thirroul",McCauley?s Beach,"McCauley’s Beach, South, Pacific Motorway, Ocean Shores, Australia",150.9246939,-34.32659770000001,GEOMETRIC_CENTER,"('McCauley\xe2\x80\x99s Beach, South, Pacific Motorway, Ocean Shores, Australia', 150.9246939, -34.32659770000001, 'GEOMETRIC_CENTER')"
"Meeting Place Precinct, Botany Bay National Park, Kurnell",Meeting Place Precinct,"Kamay Botany Bay National Park, Cape Solander Dr, Kurnell NSW 2231, Australia",151.2275353,-34.0094368,GEOMETRIC_CENTER,"('Kamay Botany Bay National Park, Cape Solander Dr, Kurnell NSW 2231, Australia', 151.2275353, -34.0094368, 'GEOMETRIC_CENTER')"
"Minnaville, Castlereagh",Minnaville,"Minnaville Cl, Glenmore Park NSW 2745, Australia",150.6924856,-33.8045549,GEOMETRIC_CENTER,"('Minnaville Cl, Glenmore Park NSW 2745, Australia', 150.6924856, -33.8045549, 'GEOMETRIC_CENTER')"
"Morts Dock, Balmain",Morts Dock,"Mort Bay Park, Mort St, Birchgrove NSW 2041, Australia",151.184063,-33.853842,GEOMETRIC_CENTER,"('Mort Bay Park, Mort St, Birchgrove NSW 2041, Australia', 151.184063, -33.853842, 'GEOMETRIC_CENTER')"
"Mount Adelaide Estate, Double Bay",Mount Adelaide Estate,"Mount Adelaide St, Darling Point NSW 2027, Australia",151.2383703,-33.8731046,GEOMETRIC_CENTER,"('Mount Adelaide St, Darling Point NSW 2027, Australia', 151.2383703, -33.8731046, 'GEOMETRIC_CENTER')"
"Mount Jerrabombera, Queanbeyan",Mount Jerrabombera,"Mount Jerrabomberra, Jerrabomberra NSW 2619, Australia",149.2127757,-35.3750016,APPROXIMATE,"('Mount Jerrabomberra, Jerrabomberra NSW 2619, Australia', 149.2127757, -35.3750016, 'APPROXIMATE')"
North Sydney Boys High School,North Sydney Boys High School,"170 Falcon St, North Sydney NSW 2060, Australia",151.2075487,-33.8292864,Great - Google,"('170 Falcon St, North Sydney NSW 2060, Australia', 151.2075487, -33.8292864, 'Great - Google')"
"Oatlands Court House, Tasmania",Oatlands Court House,"97-99 Goulburn St, Sydney NSW 2000, Australia",151.2083057,-33.8783435,Great - Google,"('97-99 Goulburn St, Sydney NSW 2000, Australia', 151.2083057, -33.8783435, 'Great - Google')"
